time,base_acceleration,integrated_base_velocity
0.000000000000000000e+00,-3.511645859416923088e-02,0.000000000000000000e+00
1.000000000000000021e-02,-3.514321791857888400e-02,-1.018906631183153465e-05
2.000000000000000042e-02,-3.513142806873759127e-02,-2.045297999650496669e-05
2.999999999999999889e-02,-3.510647450168846717e-02,-3.053317659672629726e-05
4.000000000000000083e-02,-3.506852663791626412e-02,-4.029886604284098339e-05
5.000000000000000278e-02,-3.501787209589046768e-02,-4.962154345996552460e-05
5.999999999999999778e-02,-3.495584675231810934e-02,-5.838082144909951740e-05
7.000000000000000666e-02,-3.488528980384586475e-02,-6.647718797801044355e-05
8.000000000000000167e-02,-3.481084957228830490e-02,-7.384856860677239954e-05
8.999999999999999667e-02,-3.473915735610866307e-02,-8.048928699684772259e-05
1.000000000000000056e-01,-3.467883629494572517e-02,-8.646993900021052865e-05
1.100000000000000006e-01,-3.464030128008666054e-02,-9.195631062346339146e-05
1.199999999999999956e-01,-3.463530797751346313e-02,-9.722504065955497876e-05
1.300000000000000044e-01,-3.467621950004762255e-02,-1.026733617954514108e-04
1.400000000000000133e-01,-3.477497737133639077e-02,-1.088200299004622382e-04
1.499999999999999944e-01,-3.494178883317822226e-02,-1.162945446711262029e-04
1.600000000000000033e-01,-3.518357452029796661e-02,-1.258120451865978387e-04
1.700000000000000122e-01,-3.550225758672098664e-02,-1.381318894697830882e-04
1.799999999999999933e-01,-3.589301515124887487e-02,-1.539989369077230871e-04
1.900000000000000022e-01,-3.634265214599885496e-02,-1.740679571420539543e-04
2.000000000000000111e-01,-3.682829215666849620e-02,-1.988133624034812974e-04
2.099999999999999922e-01,-3.731660482520560151e-02,-2.284285310609427549e-04
2.200000000000000011e-01,-3.776379967907494972e-02,-2.627212373304361678e-04
2.300000000000000100e-01,-3.811660677258466023e-02,-3.010139533368254294e-04
2.399999999999999911e-01,-3.831443081321062039e-02,-3.420598250138909974e-04
2.500000000000000000e-01,-3.829280428364256750e-02,-3.839866842462475588e-04
