time,input_base_ax,input_base_vx,base_vx,base_ax,base_xdisp,middle_vx,middle_ax,middle_xdisp,surface_vx,surface_ax,surface_xdisp,base_strain,base_shear_stress,middle_strain,middle_shear_stress
0,-0.0351164585942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-0.0351314280687,-2.04529799965e-05,-1.89737107941e-05,-0.000948685539704,-1.82150817291e-07,-5.95474153643e-06,-0.000297737076822,-1.8903954957e-08,-1.20817171846e-08,-6.04085859231e-07,-2.39666342328e-11,2.69989473556e-08,13.4994735741,8.94318996636e-09,4.09375757467
0.04,-0.0350685266379,-4.02988660428e-05,-3.89916640921e-05,-0.0010008976649,-7.68842969401e-07,-2.69042154675e-05,-0.00104747369655,-3.49968522079e-07,-2.49399828505e-05,-0.00124639505667,-1.49249335474e-07,5.51679328886e-08,27.5839665445,3.73613702753e-08,18.3976762379
0.06,-0.0349558467523,-5.83808214491e-05,-5.96722186324e-05,-0.00103402772702,-1.7471616304e-06,-6.39190464425e-05,-0.00185074154875,-1.24243577379e-06,-6.49859941418e-05,-0.00200230056456,-1.04702374942e-06,7.21444006202e-08,36.0722002503,3.99223474834e-08,19.9330207297
0.08,-0.0348108495723,-7.38485686068e-05,-7.6434112808e-05,-0.000838094708779,-3.11558996352e-06,-9.22301982336e-05,-0.00141555758956,-2.86200833252e-06,-0.000102199244496,-0.00186066251769,-2.7294759288e-06,3.52412854454e-08,17.6206426637,2.2036466818e-08,11.4168228677
0.1,-0.0346788362949,-8.64699390002e-05,-8.83082565369e-05,-0.000593707186446,-4.76276940831e-06,-0.000102449520638,-0.000510966120211,-4.82441693903e-06,-0.000103479761778,-6.40258641216e-05,-4.8819413048e-06,-1.9042488697e-09,-0.952124718585,-1.05932012606e-08,-5.0936072573
0.12,-0.0346353079775,-9.72250406596e-05,-9.57485186634e-05,-0.000372013106321,-6.62119062253e-06,-9.14700203041e-05,0.000548975016682,-6.77731365856e-06,-9.20206754881e-05,0.000572954314499,-6.84707835241e-06,-1.9428527176e-08,-9.71426384091,-1.43954357323e-08,-7.12164824753
0.14,-0.0347749773713,-0.0001088200299,-0.0001067583531,-0.000550491721812,-8.64752139432e-06,-9.13207316095e-05,7.46443472991e-06,-8.55377685299e-06,-7.90301367273e-05,0.00064952693804,-8.54231175804e-06,1.43804647634e-08,7.19023228947,6.34690910939e-09,2.7327016676
0.16,-0.0351835745203,-0.000125812045187,-0.000124005136908,-0.000862339190431,-1.09442928187e-05,-0.000107629520219,-0.000815439430483,-1.05081303126e-05,-0.000106034140062,-0.00135020016671,-1.03274745185e-05,5.8412051307e-08,29.2060254865,3.76848830475e-08,18.6739180577
0.18,-0.0358930151512,-0.000153998936908,-0.000154514998614,-0.00152549308528,-1.37031348931e-05,-0.000150756265925,-0.0021563372853,-1.30771071966e-05,-0.00014674418376,-0.00203550218491,-1.28303828564e-05,8.82614462072e-08,44.1307230549,4.98577750196e-08,24.8086294879
