time,base_acceleration_mps2,base_acceleration_g,integrated_base_velocity,integrated_base_displacement
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,3.512818383365308733e-10,3.582077858764520691e-11,8.782045958413272196e-13,2.195511489603317923e-15
1.000000000000000021e-02,1.112974852394674172e-08,1.134918501623565894e-09,2.958078050154950738e-11,7.834297423308040708e-14
1.499999999999999944e-02,8.343069191472204192e-08,8.507562920540862089e-09,2.659818815982214543e-10,8.172496294825077558e-13
2.000000000000000042e-02,3.460163319157978373e-07,3.528384636096912298e-08,1.339599441174521396e-09,4.831202936414365363e-12
2.500000000000000139e-02,1.036096032638904590e-06,1.056523922683999831e-07,4.794880352561278738e-09,2.016740242075387074e-11
2.999999999999999889e-02,2.521819728299350475e-06,2.571540463154441842e-07,1.368966975490691177e-08,6.637877768942432451e-11
3.500000000000000333e-02,5.314749120747406208e-06,5.419535846336319264e-07,3.328109187752382180e-08,1.838056817705012577e-10
4.000000000000000083e-02,1.007095501988189365e-05,1.026951611394502195e-06,7.174535222909704551e-08,4.463717920370532771e-10
4.499999999999999833e-02,1.757981749871090921e-05,1.792642492462860496e-06,1.408722835255790071e-07,9.779158814237431874e-10
5.000000000000000278e-02,2.874006690883355850e-05,2.930671218900803176e-06,2.566719945444402886e-07,1.971776576598792610e-09
5.500000000000000028e-02,4.452308611662896502e-05,4.540091276493906673e-06,4.398298771080965106e-07,3.713031255730133565e-09
5.999999999999999778e-02,6.592398498474746416e-05,6.722375631306049535e-06,7.159475548615374565e-07,6.602474835654216713e-09
6.500000000000000222e-02,9.390144435362221054e-05,9.575282522943330806e-06,1.115511128207461957e-06,1.118112154332671961e-08
7.000000000000000666e-02,1.293077958629068006e-04,1.318572559058463537e-05,1.673534228748784976e-06,1.815373493571734270e-08
7.499999999999999722e-02,1.728112435192465525e-04,1.762184268014526384e-05,2.428831827204167003e-06,2.840965007559970412e-08
8.000000000000000167e-02,2.248125311842167175e-04,2.292449829291518925e-05,3.422891263962825788e-06,4.303895780351720066e-08
8.500000000000000611e-02,2.853587061819571366e-04,2.909848992081466614e-05,4.698319357378261406e-06,6.334198435686993002e-08
8.999999999999999667e-02,3.540569131332033819e-04,3.610375746388454655e-05,6.296858405666159653e-06,9.082992876448093450e-08
9.500000000000000111e-02,4.299913653079479102e-04,4.384691666450295689e-05,8.256979101769040052e-06,1.272145225330689666e-07
1.000000000000000056e-01,5.116467761073186437e-04,5.217345129145209442e-05,1.061107445530720881e-05,1.743846564257596343e-07
1.049999999999999961e-01,5.968415852052649708e-04,6.086090410132563491e-05,1.338229535858866256e-05,2.343680809604992015e-07
1.100000000000000006e-01,6.826742786122065240e-04,6.961340300838783678e-05,1.658108501813234468e-05,3.092765319023017842e-07
1.150000000000000050e-01,7.654859775116722945e-04,7.805784620759100663e-05,2.020148565844204607e-05,4.012329585937378394e-07
1.199999999999999956e-01,8.408422571094505485e-04,8.574204821314623717e-05,2.421730624499484653e-05,5.122799383523298316e-07
1.250000000000000000e-01,9.035368557873912866e-04,9.213511808695031805e-05,2.857825402723695559e-05,6.442688390329094090e-07
1.300000000000000044e-01,9.476195503478084719e-04,9.663030192245145120e-05,3.320614504257496272e-05,7.987298367074393699e-07
1.350000000000000089e-01,9.664500107134240629e-04,9.855047449571710126e-05,3.799131894522804622e-05,9.767234966769470405e-07
1.400000000000000133e-01,9.527789145427464825e-04,9.715641065427505982e-05,4.278939125836847719e-05,1.178675272185938468e-06
1.449999999999999900e-01,8.988570079351578240e-04,9.165790641403107866e-05,4.741848106456321763e-05,1.404194952993266561e-06
1.499999999999999944e-01,7.965721533640516584e-04,8.122775395920642835e-05,5.165705396781124161e-05,1.651883790574202870e-06
1.549999999999999989e-01,6.376137221714844872e-04,6.501850501154670704e-05,5.524251865665008251e-05,1.919132722135356587e-06
1.600000000000000033e-01,4.136629795141279816e-04,4.218188469193129384e-05,5.787071041086411423e-05,2.201915794804142113e-06
1.650000000000000078e-01,1.166073886208467017e-04,1.189064447296953645e-05,5.919638633120155412e-05,2.494583536659306521e-06
1.700000000000000122e-01,-2.612239566635000346e-04,-2.663743038280147232e-05,5.883484491109491801e-05,2.789661614765047820e-06
1.750000000000000167e-01,-7.268072616703847915e-04,-7.411371484353829924e-05,5.636476686526020161e-05,3.077660644205935890e-06
1.799999999999999933e-01,-1.286157479680628997e-03,-1.311515634473167766e-04,5.133235501188268665e-05,3.346903448898791637e-06
1.849999999999999978e-01,-1.944053053622785089e-03,-1.982382417668403750e-04,4.325682867862414114e-05,3.583376408125058740e-06
1.900000000000000022e-01,-2.703757278494416539e-03,-2.757065132837836058e-04,3.163730284833112514e-05,3.770611736942447143e-06
1.950000000000000067e-01,-3.566742088687675175e-03,-3.637064735345582351e-04,1.596105443037588149e-05,3.889607630139214880e-06
2.000000000000000111e-01,-4.532420460269625910e-03,-4.621782627369821735e-04,-4.286851942017389519e-06,3.918793136360111135e-06
2.050000000000000155e-01,-5.597893901815829097e-03,-5.708263170211875940e-04,-2.961263784723105089e-05,3.834044411886990356e-06
2.099999999999999922e-01,-6.757721678301267972e-03,-6.890958358156219288e-04,-6.050167679752364597e-05,3.608758625275104672e-06
2.149999999999999967e-01,-8.003718462204413575e-03,-8.161521480020612375e-04,-9.740527714878788074e-05,3.213991240409325754e-06
2.200000000000000011e-01,-9.324787027678142076e-03,-9.508636514689666969e-04,-1.407265408734943019e-04,2.618661695353619823e-06
2.250000000000000056e-01,-1.070679239277035066e-02,-1.091788979189667287e-03,-1.908054894246155814e-04,1.789831619608344387e-06
2.300000000000000100e-01,-1.213248346884581233e-02,-1.237169009686877154e-03,-2.479036790786560474e-04,6.930586983501643488e-07
2.350000000000000144e-01,-1.358146779551284641e-02,-1.384924290712205228e-03,-3.121885572395527594e-04,-7.071718924453589980e-07
