time,input_base_ax,input_base_ax_g,input_base_vx,input_base_xdisp,top_vx,top_ax,top_ax_g,top_xdisp,stress_point_vx,stress_point_ax,stress_point_ax_g,stress_point_xdisp,stress_point_strain,stress_point_shear_stress,stress_element_material
0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,1
0.01,1.11297485239e-08,1.13491850162e-09,2.95807805015e-11,7.83429742331e-14,1.61661463008e-31,2.72599714548e-28,2.77974348578e-29,9.24114140018e-35,2.56301253335e-25,2.56301253335e-23,2.61354543432e-24,1.88816976219e-28,-6.03641157469e-29,-9.05461736204e-21,1
0.02,3.46016331916e-07,3.5283846361e-08,1.33959944117e-09,4.83120293641e-12,1.22435487406e-25,1.08619799596e-22,1.10761370699e-23,1.32905539698e-28,7.4544042142e-21,7.45414791295e-19,7.60111548077e-20,9.82157594925e-24,-3.04252152719e-24,-4.56378229078e-16,1
0.03,2.5218197283e-06,2.57154046315e-07,1.36896697549e-08,6.63787776894e-11,4.07538736962e-22,2.61554265582e-19,2.66711125188e-20,6.12162351768e-25,5.27813521494e-18,5.27068081073e-16,5.37459867613e-17,9.59208976105e-21,-2.88989177134e-21,-4.33483765701e-13,1
0.04,1.00709550199e-05,1.02695161139e-06,7.17453522291e-08,4.46371792037e-10,1.61374224348e-19,8.0489724359e-17,8.2076676907e-18,3.10859056421e-22,6.47012455767e-16,6.41734320552e-14,6.54386891091e-15,1.52180446546e-18,-4.4468927689e-19,-6.67033915335e-11,1
0.05,2.87400669088e-05,2.9306712189e-06,2.56671994544e-07,1.9717765766e-09,1.75215959036e-17,7.07319516833e-15,7.2126517907e-16,4.15781605546e-20,2.72965573954e-14,2.66495449396e-12,2.71749730434e-13,7.9679352459e-17,-2.25283208708e-17,-3.37924813062e-09,1
0.06,6.59239849847e-05,6.72237563131e-06,7.15947554862e-07,6.60247483565e-09,7.96064706218e-16,2.67413996706e-13,2.72686388018e-14,2.26317283846e-18,5.6195676955e-13,5.34660212155e-11,5.45201686769e-12,1.97951403507e-15,-5.40268405835e-16,-8.10402608753e-08,1
0.07,0.000129307795863,1.31857255906e-05,1.67353422875e-06,1.81537349357e-08,1.93012122549e-14,5.50156517534e-12,5.61003520604e-13,6.44545058598e-17,6.89641951942e-12,6.33446274987e-10,6.45935436655e-11,2.87409099371e-14,-7.5544736844e-15,-1.13317105266e-06,1
0.08,0.000224812531184,2.29244982929e-05,3.42289126396e-06,4.30389578035e-08,2.90846535565e-13,7.13542990293e-11,7.27611355858e-12,1.12437616225e-15,5.72331151752e-11,5.03366956557e-09,5.13291446679e-10,2.78071783764e-13,-7.02283322083e-14,-1.05342498312e-05,1
0.09,0.000354056913133,3.61037574639e-05,6.29685840567e-06,9.08299287645e-08,3.01685564137e-12,6.43934018956e-10,6.56629959218e-11,1.33524309644e-14,3.4971937963e-10,2.92486264455e-08,2.98252985938e-09,1.9584946121e-12,-4.74193590469e-13,-7.11290385704e-05,1
0.1,0.000511646776107,5.21734512915e-05,1.06110744553e-05,1.74384656426e-07,2.31516992363e-11,4.33538689135e-09,4.42086430264e-10,1.16295595591e-13,1.67125314832e-09,1.32153376869e-07,1.34758940993e-08,1.06905256609e-11,-2.47612303059e-12,-0.000371418454589,1
0.11,0.000682674278612,6.96134030084e-05,1.65810850181e-05,3.09276531902e-07,1.38604194825e-10,2.29219416434e-08,2.33738755268e-09,7.84679862903e-13,6.53013000116e-09,4.85887685284e-07,4.95467550371e-08,4.73603820513e-11,-1.04720010374e-11,-0.00157080015561,1
0.12,0.000840842257109,8.57420482131e-05,2.4217306245e-05,5.12279938352e-07,6.73927530478e-10,9.89525064355e-08,1.00903475127e-08,4.27540672817e-12,2.15780834653e-08,1.50479534641e-06,1.53446421195e-07,1.76346656936e-10,-3.71502100354e-11,-0.00557253150531,1
0.13,0.000947619550348,9.66303019225e-05,3.32061450426e-05,7.98729836707e-07,2.746043497e-09,3.5952916282e-07,3.66617716366e-08,1.94290515429e-11,6.19009009341e-08,4.03228174689e-06,4.1117830726e-07,5.67103739495e-10,-1.13605902122e-10,-0.0170408853184,1
0.14,0.000952778914543,9.71564106543e-05,4.27893912584e-05,1.17867527219e-06,9.6136580047e-09,1.12630505308e-06,1.14851152338e-07,7.55567031223e-11,1.57387429954e-07,9.54865290199e-06,9.73691617625e-07,1.60934340096e-09,-3.059875802e-10,-0.0458981370299,1
0.15,0.000796572153364,8.12277539592e-05,5.16570539678e-05,1.65188379057e-06,2.95065998045e-08,3.1021581642e-06,3.16332097526e-07,2.56725710165e-10,3.60606841618e-07,2.03219411664e-05,2.07226128866e-06,4.10048800552e-09,-7.38513937727e-10,-0.110777090659,1
0.16,0.000413662979514,4.21818846919e-05,5.78707104109e-05,2.2019157948e-06,8.07205167058e-08,7.63280073864e-06,7.78329066362e-07,7.75263501343e-10,7.54576470185e-07,3.93969628567e-05,4.0173721767e-06,9.51314180218e-09,-1.61959649471e-09,-0.242939474206,1
0.17,-0.000261223956664,-2.66374303828e-05,5.88348449111e-05,2.78966161477e-06,1.99541997174e-07,1.69988334545e-05,1.73339860753e-06,2.11038805498e-09,1.45777733128e-06,7.03200861096e-05,7.17065319039e-06,2.03287640588e-08,-3.26389056502e-09,-0.489583584752,1
0.18,-0.00128615747968,-0.000131151563447,5.13323550119e-05,3.3469034489e-06,4.50851408277e-07,3.46397541708e-05,3.53227189415e-06,5.24031641522e-09,2.62309162796e-06,0.000116531429668,1.18828988154e-05,4.03934135823e-08,-6.09939655029e-09,-0.914909482544,1
0.19,-0.00270375727849,-0.000275706513284,3.16373028483e-05,3.77061173694e-06,9.40013768011e-07,6.516502811e-05,6.64498356829e-06,1.19887550187e-08,4.42723203966e-06,0.000180414041169,1.83971122829e-05,7.52171005908e-08,-1.06464237692e-08,-1.59696356539,1
0.2,-0.00453242046027,-0.000462178262737,-4.28685194202e-06,3.91879313636e-06,1.82309610407e-06,0.000113989312487,1.16236750049e-05,2.54849112225e-08,7.04779929308e-06,0.000262056725342,2.67223491552e-05,1.32106311371e-07,-1.74553302072e-08,-2.61829953108,1
0.21,-0.0067577216783,-0.000689095835816,-6.05016767975e-05,3.60875862528e-06,3.31090669945e-06,0.000186453263618,1.90129415874e-05,5.06984741388e-08,1.0626296629e-05,0.000357849733587,3.64905175149e-05,2.19996243412e-07,-2.69930988361e-08,-4.04896482542,1
0.22,-0.00932478702768,-0.000950863651469,-0.000140726540873,2.61866169535e-06,5.66128199295e-06,0.000286360114728,2.92006051739e-05,9.49599341513e-08,1.52171054471e-05,0.000459080881812,4.68132218252e-05,3.48840792526e-07,-3.9475122239e-08,-5.92126833585,1
0.23,-0.0121324834688,-0.00123716900969,-0.000247903679079,6.9305869835e-07,9.15385494695e-06,0.000413961932007,4.22123693623e-05,1.683190205e-07,2.07243982963e-05,0.000550729284922,5.61587580797e-05,5.2842826824e-07,-5.46475897126e-08,-8.1971384569,1
0.24,-0.0150302443258,-0.00153265838241,-0.000383717837543,-2.4469378794e-06,1.40424914512e-05,0.000563551118058,5.74662211925e-05,2.83540216575e-07,2.68310380738e-05,0.000610663977749,6.22703958792e-05,7.66521141603e-07,-7.15366094333e-08,-10.730491415,1
0.25,-0.0178182628652,-0.00181695715307,-0.000548100597946,-7.08860494098e-06,2.04827577455e-05,0.000720932520077,7.35146579186e-05,4.55496278455e-07,3.29254997331e-05,0.00060944616593,6.21462136336e-05,1.06626889945e-06,-8.81912295544e-08,-13.2286844332,1
0.26,-0.0202516301228,-0.00206509155755,-0.000738756060117,-1.35076796859e-05,2.84350644943e-05,0.00086115040803,8.78129032881e-05,6.99710229864e-07,3.80345780631e-05,0.000510907832997,5.20981000644e-05,1.4229125385e-06,-1.01457188959e-07,-15.2185783439,1
0.27,-0.0220487748953,-0.0022483493237,-0.000950749269245,-2.19439741779e-05,3.75482282173e-05,0.000946906540957,9.65575951989e-05,1.02982313384e-06,4.07709446789e-05,0.000273636661583,2.79031740281e-05,1.81988392076e-06,-1.0682487653e-07,-16.0237314795,1
0.28,-0.0229042928498,-0.00233558787657,-0.00117620102743,-3.25733786741e-05,4.70326639644e-05,0.000928118586086,9.46417569798e-05,1.45383505649e-06,3.93053289324e-05,-0.000146561574644,-1.49451213864e-05,2.22449802544e-06,-9.83971914269e-08,-14.759578714,1
0.29,-0.0225059422077,-0.00229496741575,-0.0014041320702,-4.54775338538e-05,5.55367452805e-05,0.000743025310274,7.57674955539e-05,1.96908118155e-06,3.1373075578e-05,-0.000793225335441,-8.08864735094e-05,2.5835344335e-06,-6.90197942931e-08,-10.352969144,1
0.3,-0.0205552533794,-0.00209605251328,-0.00162049571937,-6.06128646068e-05,6.10434679802e-05,0.000321144893633,3.27476654753e-05,2.55605959634e-06,1.43239609051e-05,-0.00170491146729,-0.000173852586489,2.81909821089e-06,-1.06072077491e-08,-1.59108116237,1
0.31,-0.0167908700882,-0.00171219224589,-0.00180843094128,-7.77810253056e-05,6.08068797821e-05,-0.000411759862177,-4.19878207315e-05,3.17141177145e-06,-1.47776401242e-05,-0.00291016010293,-0.000296753743932,2.82523082682e-06,8.53164129871e-08,12.7974619481,1
0.32,-0.011013432398,-0.00112305755767,-0.00194875735759,-9.66030757855e-05,5.13483129483e-05,-0.0015267500891,-0.000155685181902,3.7405559348e-06,-5.89978567897e-05,-0.00442202166655,-0.000450920718753,2.46579958354e-06,2.26862402579e-07,34.0293603869,1
0.33,-0.00311055044209,-0.000317187871709,-0.00202072051681,-0.00011649985817,2.85309401892e-05,-0.00308307426702,-0.00031438608159,4.1506680165e-06,-0.000121322888441,-0.00623250316517,-0.000635538452496,1.57422027454e-06,4.20831861251e-07,63.1247791876,1
0.34,0.00691977679241,0.000705620858541,-0.00200298020175,-0.000136681051308,-1.22725969536e-05,-0.00511831435053,-0.000521922812635,4.24487270251e-06,-0.00020439651367,-0.00830736252281,-0.000847115225159,-4.44454902393e-08,6.71626462501e-07,100.743969375,1
0.35,0.0189490514685,0.0019322655003,-0.00187481749178,-0.000156145222742,-7.59107165091e-05,-0.00763801381563,-0.000778860652274,3.81862589876e-06,-0.000310213810477,-0.0105817296808,-0.00107903613168,-2.60853576455e-06,9.8008652617e-07,147.012978926,1
0.36,0.0327032363575,0.00333480203306,-0.00161751865899,-0.000173692867151,-0.000167080730772,-0.0106056610685,-0.00108147645409,2.61931867146e-06,-0.000439784360325,-0.0129570549847,-0.00132125190404,-6.35160217776e-06,1.34234739055e-06,201.352108582,1
0.37,0.0477544399216,0.00486959766297,-0.00121587682163,-0.000187953914577,-0.000289862524775,-0.013934019098,-0.00142087451861,3.50094330617e-07,-0.000592783097427,-0.0152998737103,-0.00156015292789,-1.15107758127e-05,1.74882017254e-06,262.323025881,1
0.38,0.0635207635372,0.00647731524396,-0.000659736742755,-0.000197430521921,-0.000447176819227,-0.0174788370831,-0.00178234535576,-3.32126671897e-06,-0.000767211365595,-0.0174428268168,-0.00177867333052,-1.8311673209e-05,2.18341091802e-06,327.511637703,1
0.39,0.0792754155336,0.00808384265101,5.4504611335e-05,-0.000200555149153,-0.000640196992415,-0.0210359413572,-0.00214506904572,-8.74777966018e-06,-0.000959094271516,-0.0191882905921,-0.00195666110161,-2.69500751475e-05,2.62309148074e-06,393.463722111,1
0.4,0.0941657626822,0.00960223549145,0.000922538074795,-0.000195763000392,-0.000867752840987,-0.0243425773523,-0.00248225207918,-1.62827295482e-05,-0.00116224269728,-0.020314842576,-0.00207153743389,-3.75708845551e-05,3.03792538871e-06,455.688808306,1
0.41,0.107242470505,0.0109356885894,0.00193102332617,-0.000181576922812,-0.00112577236827,-0.027083663201,-0.00276176504729,-2.62533361449e-05,-0.00136810901268,-0.0205866315407,-0.00209925219526,-5.02451584061e-05,3.39163230066e-06,508.7448451,1
0.42,0.117498302609,0.0119814924168,0.00305681008912,-0.000156701854686,-0.00140681288847,-0.028903328365,-0.00294731925428,-3.8929248058e-05,-0.00156576432991,-0.0197655317226,-0.00201552331557,-6.49462944551e-05,3.64274598039e-06,546.411897058,1
0.43,0.123915535026,0.0126358680106,0.00426659124801,-0.000120124955703,-0.00169973473342,-0.0294217618003,-0.00300018475221,-5.44870309245e-05,-0.00174202188131,-0.0176257551398,-0.0017973268282,-8.15267171895e-05,3.74638428268e-06,561.957642402,1
0.44,0.125520327226,0.0127995112731,0.00551706611391,-7.12166988443e-05,-0.00198956912745,-0.028257003756,-0.00288141248602,-7.29723417302e-05,-0.00188172570567,-0.0139703824363,-0.00142458254718,-9.96966274569e-05,3.65660736226e-06,548.49110434,1
0.45,0.121441812559,0.0123836185199,0.00675567256519,-9.82751473217e-06,-0.00225762606034,-0.025050907339,-0.00255448163634,-9.426197116e-05,-0.00196821636602,-0.0086490660354,-0.000881959286341,-0.000119006535669,3.32929464411e-06,499.394196616,1
0.46,0.110973163615,0.0113161134144,0.00792192182213,6.36258862603e-05,-0.00248187819667,-0.0194980972513,-0.00198825258893,-0.000118028347558,-0.00198397610963,-0.00157597436058,-0.000160704660672,-0.000138835369637,2.72542490845e-06,408.813736267,1
0.47,0.0936314871899,0.00954775455327,0.0089493400889,0.000148090581293,-0.00263764324767,-0.011376391622,-0.00116006909821,-0.000143709390056,-0.0019114450853,0.00725310243319,0.000739610614551,-0.000158385918177,1.81460027748e-06,272.190041622,1
