time,acceleration_g,acceleration_mps2,integrated_velocity_mps,integrated_displacement_m
0.000000000000e+000,0.000000000000e+000,0.000000000000e+000,0.000000000000e+000,0.000000000000e+000
5.000000000000e-003,3.582077858765e-011,3.512818383365e-010,8.782045958413e-013,2.195511489603e-015
1.000000000000e-002,1.134918501624e-009,1.112974852395e-008,2.958078050155e-011,7.834297423308e-014
1.500000000000e-002,8.507562920541e-009,8.343069191472e-008,2.659818815982e-010,8.172496294825e-013
2.000000000000e-002,3.528384636097e-008,3.460163319158e-007,1.339599441175e-009,4.831202936414e-012
2.500000000000e-002,1.056523922684e-007,1.036096032639e-006,4.794880352561e-009,2.016740242075e-011
3.000000000000e-002,2.571540463154e-007,2.521819728299e-006,1.368966975491e-008,6.637877768942e-011
3.500000000000e-002,5.419535846336e-007,5.314749120747e-006,3.328109187752e-008,1.838056817705e-010
4.000000000000e-002,1.026951611395e-006,1.007095501988e-005,7.174535222910e-008,4.463717920371e-010
4.500000000000e-002,1.792642492463e-006,1.757981749871e-005,1.408722835256e-007,9.779158814237e-010
5.000000000000e-002,2.930671218901e-006,2.874006690883e-005,2.566719945444e-007,1.971776576599e-009
5.500000000000e-002,4.540091276494e-006,4.452308611663e-005,4.398298771081e-007,3.713031255730e-009
6.000000000000e-002,6.722375631306e-006,6.592398498475e-005,7.159475548615e-007,6.602474835654e-009
6.500000000000e-002,9.575282522943e-006,9.390144435362e-005,1.115511128207e-006,1.118112154333e-008
7.000000000000e-002,1.318572559058e-005,1.293077958629e-004,1.673534228749e-006,1.815373493572e-008
7.500000000000e-002,1.762184268015e-005,1.728112435192e-004,2.428831827204e-006,2.840965007560e-008
8.000000000000e-002,2.292449829292e-005,2.248125311842e-004,3.422891263963e-006,4.303895780352e-008
8.500000000000e-002,2.909848992081e-005,2.853587061820e-004,4.698319357378e-006,6.334198435687e-008
9.000000000000e-002,3.610375746388e-005,3.540569131332e-004,6.296858405666e-006,9.082992876448e-008
9.500000000000e-002,4.384691666450e-005,4.299913653079e-004,8.256979101769e-006,1.272145225331e-007
1.000000000000e-001,5.217345129145e-005,5.116467761073e-004,1.061107445531e-005,1.743846564258e-007
1.050000000000e-001,6.086090410133e-005,5.968415852053e-004,1.338229535859e-005,2.343680809605e-007
1.100000000000e-001,6.961340300839e-005,6.826742786122e-004,1.658108501813e-005,3.092765319023e-007
1.150000000000e-001,7.805784620759e-005,7.654859775117e-004,2.020148565844e-005,4.012329585937e-007
1.200000000000e-001,8.574204821315e-005,8.408422571095e-004,2.421730624499e-005,5.122799383523e-007
1.250000000000e-001,9.213511808695e-005,9.035368557874e-004,2.857825402724e-005,6.442688390329e-007
1.300000000000e-001,9.663030192245e-005,9.476195503478e-004,3.320614504258e-005,7.987298367074e-007
1.350000000000e-001,9.855047449572e-005,9.664500107134e-004,3.799131894523e-005,9.767234966769e-007
1.400000000000e-001,9.715641065428e-005,9.527789145427e-004,4.278939125837e-005,1.178675272186e-006
1.450000000000e-001,9.165790641403e-005,8.988570079352e-004,4.741848106456e-005,1.404194952993e-006
1.500000000000e-001,8.122775395921e-005,7.965721533641e-004,5.165705396781e-005,1.651883790574e-006
1.550000000000e-001,6.501850501155e-005,6.376137221715e-004,5.524251865665e-005,1.919132722135e-006
1.600000000000e-001,4.218188469193e-005,4.136629795141e-004,5.787071041086e-005,2.201915794804e-006
1.650000000000e-001,1.189064447297e-005,1.166073886208e-004,5.919638633120e-005,2.494583536659e-006
1.700000000000e-001,-2.663743038280e-005,-2.612239566635e-004,5.883484491109e-005,2.789661614765e-006
1.750000000000e-001,-7.411371484354e-005,-7.268072616704e-004,5.636476686526e-005,3.077660644206e-006
1.800000000000e-001,-1.311515634473e-004,-1.286157479681e-003,5.133235501188e-005,3.346903448899e-006
1.850000000000e-001,-1.982382417668e-004,-1.944053053623e-003,4.325682867862e-005,3.583376408125e-006
1.900000000000e-001,-2.757065132838e-004,-2.703757278494e-003,3.163730284833e-005,3.770611736942e-006
1.950000000000e-001,-3.637064735346e-004,-3.566742088688e-003,1.596105443038e-005,3.889607630139e-006
2.000000000000e-001,-4.621782627370e-004,-4.532420460270e-003,-4.286851942017e-006,3.918793136360e-006
2.050000000000e-001,-5.708263170212e-004,-5.597893901816e-003,-2.961263784723e-005,3.834044411887e-006
2.100000000000e-001,-6.890958358156e-004,-6.757721678301e-003,-6.050167679752e-005,3.608758625275e-006
2.150000000000e-001,-8.161521480021e-004,-8.003718462204e-003,-9.740527714879e-005,3.213991240409e-006
2.200000000000e-001,-9.508636514690e-004,-9.324787027678e-003,-1.407265408735e-004,2.618661695354e-006
2.250000000000e-001,-1.091788979190e-003,-1.070679239277e-002,-1.908054894246e-004,1.789831619608e-006
2.300000000000e-001,-1.237169009687e-003,-1.213248346885e-002,-2.479036790787e-004,6.930586983502e-007
2.350000000000e-001,-1.384924290712e-003,-1.358146779551e-002,-3.121885572396e-004,-7.071718924454e-007
2.400000000000e-001,-1.532658382408e-003,-1.503024432584e-002,-3.837178375429e-004,-2.446937879402e-006
2.450000000000e-001,-1.677667550612e-003,-1.645229848521e-002,-4.624241945706e-004,-4.562292959685e-006
2.500000000000e-001,-1.816957153070e-003,-1.781826286515e-002,-5.481005979465e-004,-7.088604940978e-006
2.550000000000e-001,-1.947264962050e-003,-1.909614594009e-002,-6.403866199596e-004,-1.005982298574e-005
2.600000000000e-001,-2.065091557546e-003,-2.025163012281e-002,-7.387560601168e-004,-1.350767968593e-005
2.650000000000e-001,-2.166737807159e-003,-2.124843931657e-002,-8.425062337153e-004,-1.746083542051e-005
2.700000000000e-001,-2.248349323704e-003,-2.204877489530e-002,-9.507492692450e-004,-2.194397417791e-005
2.750000000000e-001,-2.305967661230e-003,-2.261381776500e-002,-1.062405750896e-003,-2.697686172827e-005
2.800000000000e-001,-2.335587876574e-003,-2.290429284980e-002,-1.176201027433e-003,-3.257337867409e-005
2.850000000000e-001,-2.333221948872e-003,-2.288109102491e-002,-1.290664487119e-003,-3.874054246047e-005
2.900000000000e-001,-2.294967415754e-003,-2.250594220770e-002,-1.404132070201e-003,-4.547753385377e-005
2.950000000000e-001,-2.217080454688e-003,-2.174213204096e-002,-1.514752255823e-003,-5.277474466883e-005
3.000000000000e-001,-2.096052513281e-003,-2.055525337937e-002,-1.620495719374e-003,-6.061286460682e-005
3.050000000000e-001,-1.928689475689e-003,-1.891398264676e-002,-1.719168809439e-003,-6.896202592885e-005
3.100000000000e-001,-1.712192245892e-003,-1.679087008818e-002,-1.808430941276e-003,-7.778102530564e-005
3.150000000000e-001,-1.444237534666e-003,-1.416313201934e-002,-1.885815946545e-003,-8.701664252519e-005
3.200000000000e-001,-1.123057557673e-003,-1.101343239795e-002,-1.948757357588e-003,-9.660307578552e-005
3.250000000000e-001,-7.475172892348e-004,-7.330640424475e-003,-1.994617539644e-003,-1.064615130286e-004
3.300000000000e-001,-3.171878717087e-004,-3.110550442092e-003,-2.020720516811e-003,-1.164998581697e-004
3.350000000000e-001,1.675852444458e-004,1.643449837445e-003,-2.024388268322e-003,-1.266126301326e-004
3.400000000000e-001,7.056208585414e-004,6.919776792415e-003,-2.002980201748e-003,-1.366810513077e-004
3.450000000000e-001,1.294848685732e-003,1.269812786393e-002,-1.953935440107e-003,-1.465733404124e-004
3.500000000000e-001,1.932265500296e-003,1.894905146847e-002,-1.874817491776e-003,-1.561452227421e-004
3.550000000000e-001,2.613902060678e-003,2.563362264334e-002,-1.763360806496e-003,-1.652406684878e-004
3.600000000000e-001,3.334802033064e-003,3.270323635754e-002,-1.617518658994e-003,-1.736928671515e-004
3.650000000000e-001,4.089014019447e-003,4.009952933381e-002,-1.435511744766e-003,-1.813254431609e-004
3.700000000000e-001,4.869597662974e-003,4.775443992160e-002,-1.215876821627e-003,-1.879539145769e-004
3.750000000000e-001,5.668644648780e-003,5.559041404496e-002,-9.575146867107e-004,-1.933873933477e-004
3.800000000000e-001,6.477315243965e-003,6.352076353723e-002,-6.597367427552e-004,-1.974305219214e-004
3.850000000000e-001,7.285890827412e-003,7.145018128264e-002,-3.223093807056e-004,-1.998856372300e-004
3.900000000000e-001,8.083842651014e-003,7.927541553357e-002,5.450461133495e-005,-2.005551491535e-004
3.950000000000e-001,8.859916850720e-003,8.688610358411e-002,4.699084091292e-004,-1.992441166023e-004
4.000000000000e-001,9.602235491451e-003,9.416576268224e-002,9.225380747950e-004,-1.957630003925e-004
4.050000000000e-001,1.029841318717e-002,1.009929336820e-001,1.410434815706e-003,-1.899305681662e-004
4.100000000000e-001,1.093568858940e-002,1.072424705052e-001,1.931023326173e-003,-1.815769228115e-004
4.150000000000e-001,1.150106978764e-002,1.127869660330e-001,2.481096917519e-003,-1.705466222023e-004
4.200000000000e-001,1.198149241679e-002,1.174983026091e-001,3.056810089124e-003,-1.567018546857e-004
4.250000000000e-001,1.236398902369e-002,1.212493129592e-001,3.653679128045e-003,-1.399256316428e-004
4.300000000000e-001,1.263586801061e-002,1.239155350263e-001,4.266591248009e-003,-1.201249557027e-004
4.350000000000e-001,1.278490025170e-002,1.253770420534e-001,4.889822690708e-003,-9.723392085586e-005
4.400000000000e-001,1.279951127307e-002,1.255203272260e-001,5.517066113906e-003,-7.121669884432e-005
4.450000000000e-001,1.266897670095e-002,1.242402203644e-001,6.141467482882e-003,-4.207036485235e-005
4.500000000000e-001,1.238361851994e-002,1.214418125586e-001,6.755672565190e-003,-9.827514732170e-006
4.550000000000e-001,1.193499954629e-002,1.170423633006e-001,7.351883004838e-003,2.544137419290e-005
4.600000000000e-001,1.131611341439e-002,1.109731636153e-001,7.921921822128e-003,6.362588626031e-005
4.650000000000e-001,1.052156729885e-002,1.031813279512e-001,8.457308051044e-003,1.045739609432e-004
4.700000000000e-001,9.547754553274e-003,9.363148718986e-002,8.949340088897e-003,1.480905812931e-004
4.750000000000e-001,8.393014442200e-003,8.230735507960e-002,9.389187194570e-003,1.939368995018e-004
4.800000000000e-001,7.057776174659e-003,6.921314072322e-002,9.767988434077e-003,2.418298385734e-004
4.850000000000e-001,5.544684519717e-003,5.437478044528e-002,1.007695823700e-002,2.914422052511e-004
4.900000000000e-001,3.858704394716e-003,3.784096345244e-002,1.030749759674e-002,3.424033448354e-004
4.950000000000e-001,2.007201967124e-003,1.968392717090e-002,1.045130982330e-002,3.943003633855e-004
5.000000000000e-001,8.112439094958e-018,7.955585085057e-017,1.050051964123e-002,4.466799370469e-004
5.050000000000e-001,-2.150594601906e-003,-2.109012855278e-002,1.044779431985e-002,4.990507219496e-004
5.100000000000e-001,-4.429792824794e-003,-4.344142780527e-002,1.028646542895e-002,5.508863713215e-004
5.150000000000e-001,-6.820356638601e-003,-6.688485042994e-002,1.001064973336e-002,6.016291592273e-004
5.200000000000e-001,-9.302664301424e-003,-9.122797287156e-002,9.615367675110e-003,6.506942027485e-004
5.250000000000e-001,-1.185480866840e-002,-1.162559594280e-001,9.096657844361e-003,6.974742665472e-004
5.300000000000e-001,-1.445272891393e-002,-1.417328540038e-001,8.451685810781e-003,7.413451256851e-004
5.350000000000e-001,-1.707037567081e-002,-1.674031995722e-001,7.678845676842e-003,7.816714544041e-004
5.400000000000e-001,-1.967990916809e-002,-1.929939812432e-001,6.777852724803e-003,8.178132004082e-004
5.450000000000e-001,-2.225192951494e-002,-2.182168845777e-001,5.749825560251e-003,8.491323961209e-004
5.500000000000e-001,-2.475573783724e-002,-2.427708564615e-001,4.597356207653e-003,8.750003505406e-004
5.550000000000e-001,-2.715962653054e-002,-2.663449515157e-001,3.324566687710e-003,8.948051577790e-004
5.600000000000e-001,-2.943119645468e-002,-2.886214427123e-001,1.937150702140e-003,9.079594512536e-004
5.650000000000e-001,-3.153769846605e-002,-3.092791706621e-001,4.423991687039e-004,9.139083259308e-004
5.700000000000e-001,-3.344639627010e-002,-3.279971019822e-001,-1.150791512907e-003,9.121373450702e-004
5.750000000000e-001,-3.512494718412e-002,-3.444580633032e-001,-2.831929426120e-003,9.021805427227e-004
5.800000000000e-001,-3.654179703471e-002,-3.583526138905e-001,-4.588956119104e-003,8.836283288596e-004
5.850000000000e-001,-3.766658508133e-002,-3.693830165878e-001,-6.408295195300e-003,8.561352005736e-004
5.900000000000e-001,-3.847055456160e-002,-3.772672638915e-001,-8.274920896498e-003,8.194271603441e-004
5.950000000000e-001,-3.892696420137e-002,-3.817431134854e-001,-1.017244683994e-002,7.733087410030e-004
6.000000000000e-001,-3.901149582703e-002,-3.825720855521e-001,-1.208323483753e-002,7.176695368093e-004
6.050000000000e-001,-3.870265306346e-002,-3.795433726647e-001,-1.398852348308e-002,6.524901410078e-004
6.100000000000e-001,-3.798214600255e-002,-3.724776120960e-001,-1.586857594498e-002,5.778473924377e-004
6.150000000000e-001,-3.683525668666e-002,-3.612304699862e-001,-1.770284615018e-002,4.939188371998e-004
