time,input_base_ax,input_base_ax_g,input_base_vx,base_vx,base_ax,base_ax_g,base_xdisp,top_vx,top_ax,top_ax_g,top_xdisp,stress_point_vx,stress_point_ax,stress_point_ax_g,stress_point_xdisp,stress_point_strain,stress_point_shear_stress
0,0,0,0,3.51281838337e-14,0,0,7.02563676673e-18,0,0,0,0,0,0,0,0,0,0
0.01,1.11297485239e-08,1.13491850162e-09,2.95807805015e-11,3.90368245454e-11,3.90016963616e-09,3.97706621135e-10,1.95366789283e-13,0,0,0,0,0,0,0,0,0,0
0.02,3.46016331916e-07,3.5283846361e-08,1.33959944117e-09,1.47781067763e-09,1.43877385308e-07,1.4671410248e-08,7.77960430016e-12,0,0,0,0,0,0,0,0,0,0
0.03,2.5218197283e-06,2.57154046315e-07,1.36896697549e-08,1.44733266398e-08,1.29955159622e-06,1.32517383226e-07,8.75352908874e-11,0,0,0,0,0,0,0,0,0,0
0.04,1.00709550199e-05,1.02695161139e-06,7.17453522291e-08,7.4510429481e-08,6.00371028411e-06,6.12208071473e-07,5.32454071491e-10,0,0,0,0,0,0,0,0,0,0
0.05,2.87400669088e-05,2.9306712189e-06,2.56671994544e-07,2.63998309847e-07,1.89487880366e-05,1.93223863772e-06,2.22499776813e-09,0,0,0,0,0,0,0,0,0,0
0.06,6.59239849847e-05,6.72237563131e-06,7.15947554862e-07,7.31930097795e-07,4.67931787948e-05,4.77157630739e-06,7.20463980634e-09,0,0,0,0,0,0,0,0,0,0
0.07,0.000129307795863,1.31857255906e-05,1.67353422875e-06,1.70374613269e-06,9.71816034892e-05,9.90976566811e-06,1.93830209588e-08,0,0,0,0,0,0,0,0,0,0
0.08,0.000224812531184,2.29244982929e-05,3.42289126396e-06,3.4739083877e-06,0.000177016225501,1.80506315104e-05,4.52712935607e-08,0,0,0,0,0,0,0,0,0,0
0.09,0.000354056913133,3.61037574639e-05,6.29685840567e-06,6.37526323351e-06,0.000290135484581,2.95855857588e-05,9.45171516667e-08,0,0,0,0,0,0,0,0,0,0
0.1,0.000511646776107,5.21734512915e-05,1.06110744553e-05,1.07219232914e-05,0.000434666005793,4.43235973337e-05,1.80003084291e-07,0,0,0,0,0,0,0,0,0,0
0.11,0.000682674278612,6.96134030084e-05,1.65810850181e-05,1.67259010437e-05,0.000600397775231,6.12235345639e-05,3.17242205967e-07,0,0,0,0,0,0,0,0,0,0
0.12,0.000840842257109,8.57420482131e-05,2.4217306245e-05,2.43917441563e-05,0.000766584311254,7.816984508e-05,5.22830431968e-07,0,0,0,0,0,0,0,0,0,0
0.13,0.000947619550348,9.66303019225e-05,3.32061450426e-05,3.33975519987e-05,0.00090058078424,9.18336826786e-05,8.11776912742e-07,0,0,0,0,0,0,0,0,0,0
0.14,0.000952778914543,9.71564106543e-05,4.27893912584e-05,4.29745548506e-05,0.000957700285194,9.76582507985e-05,1.19363744699e-06,0,0,0,0,0,0,0,0,0,0
0.15,0.000796572153364,8.12277539592e-05,5.16570539678e-05,5.18004725554e-05,0.000882591770475,8.99993137794e-05,1.66751258402e-06,0,0,0,0,0,0,0,0,0,0
0.16,0.000413662979514,4.21818846919e-05,5.78707104109e-05,5.79237374477e-05,0.000612326489231,6.24399248705e-05,2.21613363403e-06,0,0,0,0,0,0,0,0,0,0
0.17,-0.000261223956664,-2.66374303828e-05,5.88348449111e-05,5.87360417893e-05,8.12304341582e-05,8.28319906983e-06,2.79943253022e-06,0,0,0,0,0,0,0,0,0,0
0.18,-0.00128615747968,-0.000131151563447,5.13323550119e-05,5.10093339585e-05,-0.000772670783071,-7.87904924792e-05,3.34815940896e-06,0,0,0,0,0,0,0,0,0,0
0.19,-0.0027037572785,-0.000275706513284,3.16373028483e-05,3.10102529116e-05,-0.00199990810469,-0.000203933871882,3.75825734331e-06,0,0,0,0,0,0,0,0,0,0
0.2,-0.00453242046027,-0.000462178262737,-4.28685194204e-06,-5.29988337824e-06,-0.00363101362898,-0.000370260346702,3.88680919098e-06,0,0,0,0,0,0,0,0,0,0
0.21,-0.0067577216783,-0.000689095835816,-6.05016767976e-05,-6.19778208116e-05,-0.00566779374334,-0.000577954117189,3.55042067003e-06,0,0,0,0,0,0,0,0,0,0
0.22,-0.00932478702768,-0.000950863651469,-0.000140726540874,-0.000142729698816,-0.0080751878004,-0.000823439992291,2.52688307189e-06,0,0,0,0,0,0,0,0,0,0
0.23,-0.0121324834688,-0.00123716900969,-0.000247903679079,-0.000250475074205,-0.010774537539,-0.00109869706158,5.60859206787e-07,0,0,0,0,0,0,0,0,0,0
0.24,-0.0150302443258,-0.00153265838241,-0.000383717837543,-0.000386866091824,-0.0136391017619,-0.00139080131971,-2.62584662336e-06,0,0,0,0,0,0,0,0,0,0
0.25,-0.0178182628652,-0.00181695715307,-0.000548100597947,-0.000551792038827,-0.0164925947003,-0.001681776621,-7.31913727662e-06,0,0,0,0,0,0,0,0,0,0
