time_s,acc_base_m_s2,acc_middle_m_s2,acc_surface_m_s2,strain_base,stress_base_pa,strain_middle,stress_middle_pa
0,0.0150326340955,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.002,0.0191850126464,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.004,0.0243903377176,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.006,0.0306244013058,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.008,0.0378592731238,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.01,0.0460634034723,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.012,0.0552017505883,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.014,0.0652359318528,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.016,0.0761243980927,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.018,0.087822630066,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.02,0.100283356079,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.022,0.113456789551,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.024,0.127290885212,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.026,0.141731612504,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.028,0.156723244645,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
0.03,0.172208661702,0.00707495688902,-0.00752025836795,2.39884767519e-06,-17770.210508,4.32358476551e-07,-7473.13995544
